|eventname                                                                                           |lastn                                                                                               |firstn                                                                                              |country                                                                                             |gender                                                                                              |medal                                                                                               |
|4X200M Freestyle Relay                                                                              |stockbauer                                                                                          |hannah                                                                                              |GER                                                                                                 |Women                                                                                               |Bronze                                                                                              |
|4X200M Freestyle Relay                                                                              |van almsick                                                                                         |franziska                                                                                           |GER                                                                                                 |Women                                                                                               |Bronze                                                                                              |
|4X200M Freestyle Relay                                                                              |benko                                                                                               |lindsay                                                                                             |USA                                                                                                 |Women                                                                                               |Gold                                                                                                |
|4X200M Freestyle Relay                                                                              |coughlin                                                                                            |natalie                                                                                             |USA                                                                                                 |Women                                                                                               |Gold                                                                                                |
|4X200M Freestyle Relay                                                                              |jeffrey                                                                                             |rhi                                                                                                 |USA                                                                                                 |Women                                                                                               |Gold                                                                                                |
|4X200M Freestyle Relay                                                                              |komisarz                                                                                            |rachel                                                                                              |USA                                                                                                 |Women                                                                                               |Gold                                                                                                |
|4X200M Freestyle Relay                                                                              |piper                                                                                               |carly                                                                                               |USA                                                                                                 |Women                                                                                               |Gold                                                                                                |
|4X200M Freestyle Relay                                                                              |sandeno                                                                                             |kaitlin                                                                                             |USA                                                                                                 |Women                                                                                               |Gold                                                                                                |
|4X200M Freestyle Relay                                                                              |vollmer                                                                                             |dana                                                                                                |USA                                                                                                 |Women                                                                                               |Gold                                                                                                |
|4X200M Freestyle Relay                                                                              |li                                                                                                  |ji                                                                                                  |CHN                                                                                                 |Women                                                                                               |Silver                                                                                              |
|4X200M Freestyle Relay                                                                              |pang                                                                                                |jiaying                                                                                             |CHN                                                                                                 |Women                                                                                               |Silver                                                                                              |
|4X200M Freestyle Relay                                                                              |xu                                                                                                  |yanwei                                                                                              |CHN                                                                                                 |Women                                                                                               |Silver                                                                                              |
|4X200M Freestyle Relay                                                                              |yang                                                                                                |yu                                                                                                  |CHN                                                                                                 |Women                                                                                               |Silver                                                                                              |
|4X200M Freestyle Relay                                                                              |zhu                                                                                                 |yingwen                                                                                             |CHN                                                                                                 |Women                                                                                               |Silver                                                                                              |
|50M Freestyle                                                                                       |schoeman                                                                                            |roland                                                                                              |RSA                                                                                                 |Men                                                                                                 |Bronze                                                                                              |
|50M Freestyle                                                                                       |hall                                                                                                |gary jr.                                                                                            |USA                                                                                                 |Men                                                                                                 |Gold                                                                                                |
|50M Freestyle                                                                                       |draganja                                                                                            |duje                                                                                                |CRO                                                                                                 |Men                                                                                                 |Silver                                                                                              |
|50M Freestyle                                                                                       |trickett                                                                                            |lisbeth                                                                                             |AUS                                                                                                 |Women                                                                                               |Bronze                                                                                              |
|50M Freestyle                                                                                       |de bruijn                                                                                           |inge                                                                                                |NED                                                                                                 |Women                                                                                               |Gold                                                                                                |
|50M Freestyle                                                                                       |metella                                                                                             |malia                                                                                               |FRA                                                                                                 |Women                                                                                               |Silver                                                                                              |
|800M Freestyle                                                                                      |munz                                                                                                |diana                                                                                               |USA                                                                                                 |Women                                                                                               |Bronze                                                                                              |
|800M Freestyle                                                                                      |shibata                                                                                             |ai                                                                                                  |JPN                                                                                                 |Women                                                                                               |Gold                                                                                                |
|800M Freestyle                                                                                      |manaudou                                                                                            |laure                                                                                               |FRA                                                                                                 |Women                                                                                               |Silver                                                                                              |
